Country Name,Country Code,Longitude,Latitude,Population,Number of finishes in top 100,Normalised
Mongolia,MNG,103.846656,46.862496,3329282,0,0
Northern Mariana Islands,MNP,145.38469,17.33083,57910,0,0
Mozambique,MOZ,35.529562,-18.665695,32163045,0,0
Mauritania,MRT,-10.940835,21.00789,4775110,0,0
Mauritius,MUS,57.552152,-20.348404,1266060,0,0
Malawi,MWI,34.301525,-13.254308,19647681,0,0
Malaysia,MYS,101.975766,4.210484,32776195,0,0
Namibia,NAM,18.49041,-22.95764,2587344,0,0
New Caledonia,NCL,165.618042,-20.904305,272620,0,0
Niger,NER,8.081666,17.607789,25130810,0,0
Nigeria,NGA,8.675277,9.081999,211400704,0,0
Nicaragua,NIC,-85.207229,12.865416,6702379,0,0
Netherlands,NLD,5.291266,52.132633,17533405,0,0
Norway,NOR,8.468946,60.472024,5408320,1,1.849003018
Nepal,NPL,84.124008,28.394857,29674920,0,0
Nauru,NRU,166.931503,-0.522778,10873,0,0
New Zealand,NZL,174.885971,-40.900557,5122600,2,3.904267364
Oman,OMN,55.923255,21.512583,5223376,0,0
Pakistan,PAK,69.345116,30.375321,225199929,0,0
Panama,PAN,-80.782127,8.537981,4381583,0,0
Peru,PER,-75.015152,-9.189967,33359416,0,0
Philippines,PHL,121.774017,12.879721,111046910,0,0
Palau,PLW,134.58252,7.51498,18174,0,0
Papua New Guinea,PNG,143.95555,-6.314993,9119005,0,0
Poland,POL,19.145136,51.919438,37781024,0,0
Puerto Rico,PRI,-66.590149,18.220833,3263584,12,36.76939218
Portugal,PRT,-8.224454,39.399872,10299423,0,0
Paraguay,PRY,-58.443832,-23.442503,7219641,0,0
French Polynesia,PYF,-149.406843,-17.679742,282534,0,0
Qatar,QAT,51.183884,25.354826,2930524,0,0
Romania,ROU,24.96676,45.943161,19115146,0,0
Rwanda,RWA,29.873888,-1.940278,13276517,0,0
Saudi Arabia,SAU,45.079162,23.885942,35340680,0,0
Sudan,SDN,30.217636,12.862807,44909351,0,0
Senegal,SEN,-14.452362,14.497401,17196308,1,0.581520173
Singapore,SGP,103.819836,1.352083,5453566,0,0
Solomon Islands,SLB,160.156194,-9.64571,703995,0,0
Sierra Leone,SLE,-11.779889,8.460555,8141343,0,0
El Salvador,SLV,-88.89653,13.794185,6518500,0,0
San Marino,SMR,12.457777,43.94236,34010,0,0
Somalia,SOM,46.199616,5.152149,16359500,0,0
Serbia,SRB,21.005859,44.016521,6844078,0,0
Suriname,SUR,-56.027783,3.919305,591798,0,0
Slovenia,SVN,14.995463,46.151241,2107007,0,0
Sweden,SWE,18.643501,60.128161,10415811,6,5.760473188
Seychelles,SYC,55.491977,-4.679574,99202,0,0
Turks and Caicos Islands,TCA,-71.797928,21.694025,39226,0,0
Chad,TCD,18.732207,15.454166,16914985,0,0
Togo,TGO,0.824782,8.619543,8478242,0,0
Thailand,THA,100.992541,15.870032,69950844,0,0
Tajikistan,TJK,71.276093,38.861034,9749625,0,0
Turkmenistan,TKM,59.556278,38.969719,6117933,0,0
Timor-Leste,TLS,125.727539,-8.874217,1343875,0,0
Tonga,TON,-175.198242,-21.178986,106759,0,0
Trinidad and Tobago,TTO,-61.222503,10.691803,1403374,0,0
Tunisia,TUN,9.537499,33.886917,11935764,0,0
Tuvalu,TUV,177.64933,-7.109535,11925,0,0
Tanzania,TZA,34.888822,-6.369028,61498438,0,0
Uganda,UGA,32.290275,1.373333,47123533,0,0
Ukraine,UKR,31.16558,48.379433,43814581,0,0
Uruguay,URY,-55.765835,-32.522779,3485152,0,0
USA,USA,-95.712891,37.09024,331893745,1071,32.2693638
Uzbekistan,UZB,64.585262,41.377491,34915100,0,0
Vietnam,VNM,108.277199,14.058324,98168829,0,0
Vanuatu,VUT,166.959158,-15.376706,314464,0,0
Samoa,WSM,-172.104629,-13.759029,200144,0,0
Kosovo,XKX,20.902977,42.602636,1806279,0,0
South Africa,ZAF,22.937506,-30.559482,60041996,0,0
Zambia,ZMB,27.849332,-13.133897,18920657,0,0
Zimbabwe,ZWE,29.154857,-19.015438,15092171,0,0
